frame,id,area,com,icom,consmerged
1,0,330,"(870, 594)","(870, 594)",0
1,1,319,"(886, 656)","(886, 656)",0
1,2,280,"(727, 695)","(727, 695)",0
1,3,261,"(737, 741)","(737, 741)",0
1,4,226,"(790, 652)","(790, 652)",0
1,5,224,"(854, 768)","(854, 768)",0
2,0,334,"(874, 594)","(874, 594)",0
2,1,323,"(890, 657)","(890, 657)",0
2,2,282,"(725, 702)","(725, 702)",0
2,3,266,"(741, 741)","(741, 741)",0
2,4,229,"(794, 654)","(794, 654)",0
2,5,224,"(859, 769)","(859, 769)",0
3,0,332,"(877, 594)","(877, 594)",0
3,1,323,"(895, 658)","(895, 658)",0
3,2,281,"(724, 709)","(724, 709)",0
3,3,270,"(745, 741)","(745, 741)",0
3,4,225,"(798, 655)","(798, 655)",0
3,5,223,"(863, 771)","(863, 771)",0
4,0,332,"(881, 594)","(881, 594)",0
4,1,320,"(900, 660)","(900, 660)",0
4,2,281,"(723, 716)","(723, 716)",0
4,3,263,"(749, 741)","(749, 741)",0
4,4,226,"(802, 657)","(802, 657)",0
4,5,222,"(867, 772)","(867, 772)",0
5,0,335,"(885, 594)","(885, 594)",0
5,1,321,"(904, 661)","(904, 661)",0
5,2,284,"(722, 723)","(722, 723)",0
5,3,266,"(752, 740)","(752, 740)",0
5,4,224,"(806, 659)","(806, 659)",0
5,5,223,"(871, 773)","(871, 773)",0
6,0,332,"(889, 593)","(889, 593)",0
6,1,321,"(909, 663)","(909, 663)",0
6,2,281,"(722, 730)","(722, 730)",0
6,3,268,"(756, 740)","(756, 740)",0
6,4,228,"(811, 661)","(811, 661)",0
6,5,221,"(876, 773)","(876, 773)",0
7,0,332,"(893, 593)","(893, 593)",0
7,1,322,"(914, 664)","(914, 664)",0
7,2,281,"(722, 737)","(722, 737)",0
7,3,266,"(760, 739)","(760, 739)",0
7,4,227,"(815, 663)","(815, 663)",0
7,5,223,"(880, 774)","(880, 774)",0
8,0,334,"(896, 592)","(896, 592)",0
8,1,321,"(918, 665)","(918, 665)",0
8,2,288,"(723, 744)","(723, 744)",0
8,3,264,"(764, 738)","(764, 738)",0
8,4,229,"(819, 664)","(819, 664)",0
8,5,220,"(885, 775)","(885, 775)",0
9,0,332,"(900, 591)","(900, 591)",0
9,1,320,"(923, 667)","(923, 667)",0
9,2,284,"(723, 751)","(723, 751)",0
9,3,266,"(768, 738)","(768, 738)",0
9,4,227,"(823, 666)","(823, 666)",0
9,5,220,"(889, 776)","(889, 776)",0
10,0,334,"(904, 590)","(904, 590)",0
10,1,321,"(927, 668)","(927, 668)",0
10,2,283,"(725, 758)","(725, 758)",0
10,3,266,"(772, 737)","(772, 737)",0
10,4,231,"(828, 667)","(828, 667)",0
10,5,221,"(893, 776)","(893, 776)",0
11,0,333,"(907, 589)","(907, 589)",0
11,1,324,"(932, 669)","(932, 669)",0
11,2,285,"(726, 765)","(726, 765)",0
11,3,263,"(775, 736)","(775, 736)",0
11,4,231,"(832, 669)","(832, 669)",0
11,5,223,"(898, 777)","(898, 777)",0
12,0,331,"(911, 587)","(911, 587)",0
12,1,320,"(937, 671)","(937, 671)",0
12,2,282,"(728, 771)","(728, 771)",0
12,3,263,"(779, 734)","(779, 734)",0
12,4,231,"(836, 671)","(836, 671)",0
12,5,221,"(902, 777)","(902, 777)",0
13,0,333,"(915, 586)","(915, 586)",0
13,1,319,"(941, 672)","(941, 672)",0
13,2,284,"(730, 778)","(730, 778)",0
13,3,264,"(783, 733)","(783, 733)",0
13,4,226,"(841, 672)","(841, 672)",0
13,5,223,"(907, 777)","(907, 777)",0
14,0,333,"(918, 584)","(918, 584)",0
14,1,320,"(946, 673)","(946, 673)",0
14,2,283,"(733, 784)","(733, 784)",0
14,3,269,"(787, 732)","(787, 732)",0
14,4,226,"(845, 673)","(845, 673)",0
14,5,224,"(911, 777)","(911, 777)",0
15,0,334,"(922, 582)","(922, 582)",0
15,1,320,"(951, 675)","(951, 675)",0
15,2,282,"(736, 791)","(736, 791)",0
15,3,262,"(792, 731)","(792, 731)",0
15,4,229,"(849, 675)","(849, 675)",0
15,5,222,"(916, 777)","(916, 777)",0
16,0,334,"(925, 580)","(925, 580)",0
16,1,321,"(955, 676)","(955, 676)",0
16,2,283,"(739, 797)","(739, 797)",0
16,3,266,"(797, 729)","(797, 729)",0
16,4,227,"(854, 676)","(854, 676)",0
16,5,226,"(920, 777)","(920, 777)",0
17,0,336,"(929, 578)","(929, 578)",0
17,1,323,"(960, 677)","(960, 677)",0
17,2,280,"(743, 803)","(743, 803)",0
17,3,263,"(802, 727)","(802, 727)",0
17,4,226,"(858, 677)","(858, 677)",0
17,5,225,"(924, 777)","(924, 777)",0
18,0,334,"(932, 575)","(932, 575)",0
18,1,319,"(964, 678)","(964, 678)",0
18,2,284,"(747, 809)","(747, 809)",0
18,3,260,"(806, 725)","(806, 725)",0
18,4,224,"(862, 679)","(862, 679)",0
18,5,222,"(929, 776)","(929, 776)",0
19,0,330,"(936, 572)","(936, 572)",0
19,1,323,"(969, 679)","(969, 679)",0
19,2,281,"(751, 815)","(751, 815)",0
19,3,262,"(811, 723)","(811, 723)",0
19,4,228,"(867, 680)","(867, 680)",0
19,5,225,"(933, 776)","(933, 776)",0
20,0,328,"(939, 570)","(939, 570)",0
20,1,319,"(974, 681)","(974, 681)",0
20,2,283,"(756, 820)","(756, 820)",0
20,3,261,"(816, 720)","(816, 720)",0
20,4,226,"(871, 681)","(871, 681)",0
20,5,219,"(938, 775)","(938, 775)",0
21,0,333,"(941, 567)","(941, 567)",0
21,1,324,"(978, 682)","(978, 682)",0
21,2,283,"(761, 826)","(761, 826)",0
21,3,267,"(820, 718)","(820, 718)",0
21,4,232,"(876, 682)","(876, 682)",0
21,5,225,"(942, 775)","(942, 775)",0
22,0,332,"(944, 564)","(944, 564)",0
22,1,323,"(983, 683)","(983, 683)",0
22,2,283,"(766, 831)","(766, 831)",0
22,3,266,"(824, 715)","(824, 715)",0
22,4,227,"(880, 683)","(880, 683)",0
22,5,223,"(946, 774)","(946, 774)",0
23,0,334,"(947, 561)","(947, 561)",0
23,1,319,"(988, 684)","(988, 684)",0
23,2,286,"(772, 836)","(772, 836)",0
23,3,264,"(828, 713)","(828, 713)",0
23,4,230,"(884, 685)","(884, 685)",0
23,5,225,"(951, 773)","(951, 773)",0
24,0,332,"(949, 558)","(949, 558)",0
24,1,320,"(993, 686)","(993, 686)",0
24,2,282,"(777, 840)","(777, 840)",0
24,3,261,"(832, 710)","(832, 710)",0
24,4,230,"(889, 686)","(889, 686)",0
24,5,224,"(955, 773)","(955, 773)",0
25,0,331,"(951, 554)","(951, 554)",0
25,1,325,"(997, 687)","(997, 687)",0
25,2,281,"(783, 845)","(783, 845)",0
25,3,268,"(836, 707)","(836, 707)",0
25,4,227,"(893, 687)","(893, 687)",0
25,5,222,"(959, 771)","(959, 771)",0
26,0,332,"(953, 551)","(953, 551)",0
26,1,320,"(1002, 688)","(1002, 688)",0
26,2,284,"(788, 849)","(788, 849)",0
26,3,266,"(840, 704)","(840, 704)",0
26,4,229,"(898, 688)","(898, 688)",0
26,5,224,"(964, 770)","(964, 770)",0
27,0,333,"(955, 548)","(955, 548)",0
27,1,323,"(1006, 689)","(1006, 689)",0
27,2,283,"(794, 852)","(794, 852)",0
27,3,263,"(843, 701)","(843, 701)",0
27,4,228,"(902, 689)","(902, 689)",0
27,5,225,"(968, 769)","(968, 769)",0
28,0,334,"(957, 544)","(957, 544)",0
28,1,321,"(1011, 690)","(1011, 690)",0
28,2,281,"(800, 856)","(800, 856)",0
28,3,261,"(847, 698)","(847, 698)",0
28,4,229,"(907, 689)","(907, 689)",0
28,5,223,"(972, 768)","(972, 768)",0
29,0,331,"(958, 541)","(958, 541)",0
29,1,320,"(1016, 691)","(1016, 691)",0
29,2,283,"(806, 859)","(806, 859)",0
29,3,263,"(850, 695)","(850, 695)",0
29,4,226,"(911, 690)","(911, 690)",0
29,5,221,"(977, 766)","(977, 766)",0
30,0,333,"(960, 537)","(960, 537)",0
30,1,319,"(1020, 692)","(1020, 692)",0
30,2,280,"(813, 861)","(813, 861)",0
30,3,263,"(853, 691)","(853, 691)",0
30,4,228,"(915, 691)","(915, 691)",0
30,5,224,"(981, 765)","(981, 765)",0
31,0,332,"(961, 533)","(961, 533)",0
31,1,322,"(1025, 693)","(1025, 693)",0
31,2,281,"(819, 864)","(819, 864)",0
31,3,266,"(856, 688)","(856, 688)",0
31,4,230,"(920, 692)","(920, 692)",0
31,5,222,"(985, 763)","(985, 763)",0
32,0,334,"(962, 530)","(962, 530)",0
32,1,319,"(1030, 694)","(1030, 694)",0
32,2,280,"(825, 866)","(825, 866)",0
32,3,266,"(859, 685)","(859, 685)",0
32,4,229,"(925, 693)","(925, 693)",0
32,5,223,"(989, 762)","(989, 762)",0
33,0,332,"(962, 526)","(962, 526)",0
33,1,320,"(1035, 696)","(1035, 696)",0
33,2,282,"(832, 868)","(832, 868)",0
33,3,264,"(861, 682)","(861, 682)",0
33,4,227,"(929, 693)","(929, 693)",0
33,5,224,"(994, 760)","(994, 760)",0
34,0,335,"(963, 523)","(963, 523)",0
34,1,319,"(1039, 697)","(1039, 697)",0
34,2,285,"(838, 870)","(838, 870)",0
34,3,264,"(864, 678)","(864, 678)",0
34,4,224,"(934, 694)","(934, 694)",0
34,5,222,"(999, 757)","(999, 757)",0
35,0,331,"(963, 519)","(963, 519)",0
35,1,323,"(1044, 698)","(1044, 698)",0
35,2,284,"(845, 872)","(845, 872)",0
35,3,267,"(866, 675)","(866, 675)",0
35,4,228,"(938, 695)","(938, 695)",0
35,5,223,"(1004, 755)","(1004, 755)",0
36,0,330,"(963, 515)","(963, 515)",0
36,1,316,"(1049, 699)","(1049, 699)",0
36,2,284,"(852, 873)","(852, 873)",0
36,3,261,"(868, 672)","(868, 672)",0
36,4,229,"(943, 695)","(943, 695)",0
36,5,222,"(1008, 752)","(1008, 752)",0
37,0,334,"(963, 512)","(963, 512)",0
37,1,323,"(1054, 700)","(1054, 700)",0
37,2,286,"(858, 874)","(858, 874)",0
37,3,263,"(870, 668)","(870, 668)",0
37,4,226,"(947, 696)","(947, 696)",0
37,5,223,"(1013, 749)","(1013, 749)",0
38,0,335,"(963, 508)","(963, 508)",0
38,1,321,"(1059, 701)","(1059, 701)",0
38,2,283,"(865, 875)","(865, 875)",0
38,3,265,"(871, 665)","(871, 665)",0
38,4,226,"(952, 696)","(952, 696)",0
38,5,222,"(1017, 746)","(1017, 746)",0
39,0,330,"(962, 504)","(962, 504)",0
39,1,323,"(1064, 702)","(1064, 702)",0
39,2,281,"(872, 875)","(872, 875)",0
39,3,263,"(873, 662)","(873, 662)",0
39,4,228,"(956, 697)","(956, 697)",0
39,5,227,"(1021, 743)","(1021, 743)",0
40,0,335,"(962, 501)","(962, 501)",0
40,1,322,"(1069, 703)","(1069, 703)",0
40,2,281,"(879, 875)","(879, 875)",0
40,3,265,"(874, 658)","(874, 658)",0
40,4,228,"(961, 697)","(961, 697)",0
40,5,224,"(1025, 740)","(1025, 740)",0
41,0,327,"(961, 497)","(961, 497)",0
41,1,320,"(1075, 704)","(1075, 704)",0
41,2,283,"(886, 875)","(886, 875)",0
41,3,264,"(875, 655)","(875, 655)",0
41,4,231,"(965, 698)","(965, 698)",0
41,5,224,"(1029, 737)","(1029, 737)",0
42,0,333,"(959, 494)","(959, 494)",0
42,1,316,"(1080, 704)","(1080, 704)",0
42,2,283,"(893, 875)","(893, 875)",0
42,3,265,"(876, 652)","(876, 652)",0
42,4,229,"(970, 698)","(970, 698)",0
