frame,id,area,com,icom,consmerged
1,0,777,"(34, 441)","(34, 441)",0
2,0,780,"(42, 442)","(42, 442)",0
3,0,779,"(49, 443)","(49, 443)",0
4,0,778,"(57, 444)","(57, 444)",0
5,0,776,"(64, 445)","(64, 445)",0
6,0,787,"(72, 446)","(72, 446)",0
7,0,787,"(80, 447)","(80, 447)",0
8,0,785,"(87, 448)","(87, 448)",0
9,0,793,"(95, 448)","(95, 448)",0
10,0,821,"(103, 450)","(103, 450)",0
11,0,829,"(110, 451)","(110, 451)",0
12,0,843,"(118, 451)","(118, 451)",0
13,0,843,"(125, 452)","(125, 452)",0
14,0,843,"(133, 452)","(133, 452)",0
15,0,839,"(141, 453)","(141, 453)",0
16,0,840,"(148, 453)","(148, 453)",0
17,0,839,"(156, 453)","(156, 453)",0
18,0,835,"(164, 453)","(164, 453)",0
19,0,838,"(171, 454)","(171, 454)",0
20,0,835,"(179, 454)","(179, 454)",0
21,0,834,"(187, 454)","(187, 454)",0
22,0,829,"(194, 454)","(194, 454)",0
23,0,832,"(202, 454)","(202, 454)",0
24,0,828,"(210, 454)","(210, 454)",0
25,0,827,"(217, 454)","(217, 454)",0
26,0,834,"(225, 454)","(225, 454)",0
27,0,830,"(233, 454)","(233, 454)",0
28,0,835,"(240, 454)","(240, 454)",0
29,0,836,"(248, 454)","(248, 454)",0
30,0,835,"(256, 453)","(256, 453)",0
31,0,839,"(264, 453)","(264, 453)",0
32,0,841,"(272, 453)","(272, 453)",0
33,0,844,"(279, 452)","(279, 452)",0
34,0,846,"(287, 451)","(287, 451)",0
35,0,822,"(295, 450)","(295, 450)",0
36,0,795,"(302, 448)","(302, 448)",0
37,0,779,"(310, 446)","(310, 446)",0
38,0,780,"(317, 445)","(317, 445)",0
39,0,783,"(325, 443)","(325, 443)",0
40,0,780,"(332, 441)","(332, 441)",0
41,0,776,"(339, 438)","(339, 438)",0
42,0,780,"(346, 436)","(346, 436)",0
43,0,773,"(353, 433)","(353, 433)",0
44,0,779,"(360, 429)","(360, 429)",0
45,0,775,"(366, 425)","(366, 425)",0
46,0,775,"(373, 421)","(373, 421)",0
47,0,781,"(379, 417)","(379, 417)",0
48,0,782,"(385, 411)","(385, 411)",0
49,0,779,"(392, 405)","(392, 405)",0
50,0,777,"(398, 399)","(398, 399)",0
51,0,780,"(404, 392)","(404, 392)",0
52,0,780,"(409, 386)","(409, 386)",0
53,0,776,"(414, 379)","(414, 379)",0
54,0,781,"(418, 372)","(418, 372)",0
55,0,781,"(422, 365)","(422, 365)",0
56,0,783,"(426, 359)","(426, 359)",0
57,0,786,"(430, 352)","(430, 352)",0
58,0,785,"(432, 344)","(432, 344)",0
59,0,778,"(435, 337)","(435, 337)",0
60,0,782,"(437, 330)","(437, 330)",0
61,0,774,"(439, 323)","(439, 323)",0
62,0,782,"(441, 316)","(441, 316)",0
63,0,776,"(442, 308)","(442, 308)",0
64,0,783,"(443, 301)","(443, 301)",0
65,0,777,"(443, 294)","(443, 294)",0
66,0,783,"(443, 286)","(443, 286)",0
67,0,777,"(443, 279)","(443, 279)",0
68,0,792,"(443, 272)","(443, 272)",0
69,0,778,"(442, 265)","(442, 265)",0
70,0,782,"(441, 258)","(441, 258)",0
71,0,780,"(439, 250)","(439, 250)",0
72,0,779,"(438, 243)","(438, 243)",0
73,0,777,"(436, 236)","(436, 236)",0
74,0,783,"(434, 230)","(434, 230)",0
75,0,784,"(431, 223)","(431, 223)",0
76,0,780,"(428, 216)","(428, 216)",0
77,0,779,"(425, 209)","(425, 209)",0
78,0,787,"(422, 203)","(422, 203)",0
79,0,783,"(418, 197)","(418, 197)",0
80,0,779,"(415, 190)","(415, 190)",0
81,0,780,"(411, 184)","(411, 184)",0
82,0,780,"(406, 179)","(406, 179)",0
83,0,783,"(402, 173)","(402, 173)",0
84,0,783,"(397, 167)","(397, 167)",0
85,0,783,"(392, 162)","(392, 162)",0
86,0,785,"(387, 157)","(387, 157)",0
87,0,782,"(382, 152)","(382, 152)",0
88,0,782,"(376, 147)","(376, 147)",0
89,0,780,"(371, 143)","(371, 143)",0
90,0,783,"(365, 138)","(365, 138)",0
91,0,779,"(359, 134)","(359, 134)",0
92,0,784,"(352, 131)","(352, 131)",0
93,0,786,"(346, 127)","(346, 127)",0
94,0,784,"(340, 124)","(340, 124)",0
95,0,776,"(333, 121)","(333, 121)",0
96,0,786,"(326, 118)","(326, 118)",0
97,0,776,"(319, 116)","(319, 116)",0
98,0,779,"(312, 114)","(312, 114)",0
99,0,777,"(305, 112)","(305, 112)",0
100,0,783,"(297, 110)","(297, 110)",0
101,0,786,"(290, 109)","(290, 109)",0
102,0,784,"(282, 108)","(282, 108)",0
103,0,785,"(275, 108)","(275, 108)",0
104,0,785,"(267, 108)","(267, 108)",0
105,0,778,"(259, 108)","(259, 108)",0
106,0,779,"(251, 109)","(251, 109)",0
107,0,777,"(243, 110)","(243, 110)",0
108,0,781,"(235, 112)","(235, 112)",0
109,0,781,"(227, 114)","(227, 114)",0
110,0,785,"(219, 116)","(219, 116)",0
111,0,779,"(211, 119)","(211, 119)",0
112,0,785,"(203, 122)","(203, 122)",0
113,0,780,"(194, 125)","(194, 125)",0
114,0,781,"(186, 129)","(186, 129)",0
115,0,775,"(179, 133)","(179, 133)",0
116,0,776,"(172, 138)","(172, 138)",0
117,0,781,"(166, 142)","(166, 142)",0
118,0,782,"(160, 147)","(160, 147)",0
119,0,780,"(154, 152)","(154, 152)",0
120,0,778,"(149, 157)","(149, 157)",0
121,0,778,"(144, 163)","(144, 163)",0
122,0,783,"(139, 169)","(139, 169)",0
123,0,778,"(135, 175)","(135, 175)",0
124,0,779,"(131, 182)","(131, 182)",0
125,0,785,"(127, 188)","(127, 188)",0
126,0,785,"(124, 195)","(124, 195)",0
127,0,783,"(121, 202)","(121, 202)",0
128,0,778,"(119, 209)","(119, 209)",0
129,0,780,"(117, 216)","(117, 216)",0
130,0,785,"(115, 224)","(115, 224)",0
131,0,779,"(114, 231)","(114, 231)",0
132,0,779,"(113, 239)","(113, 239)",0
133,0,783,"(112, 247)","(112, 247)",0
134,0,787,"(112, 254)","(112, 254)",0
135,0,783,"(112, 262)","(112, 262)",0
136,0,783,"(113, 270)","(113, 270)",0
137,0,777,"(114, 278)","(114, 278)",0
138,0,779,"(116, 285)","(116, 285)",0
139,0,777,"(117, 293)","(117, 293)",0
140,0,784,"(120, 300)","(120, 300)",0
141,0,780,"(122, 308)","(122, 308)",0
142,0,782,"(126, 315)","(126, 315)",0
143,0,778,"(129, 322)","(129, 322)",0
144,0,776,"(133, 328)","(133, 328)",0
145,0,776,"(137, 334)","(137, 334)",0
146,0,782,"(141, 341)","(141, 341)",0
147,0,780,"(146, 347)","(146, 347)",0
148,0,780,"(151, 352)","(151, 352)",0
149,0,775,"(157, 357)","(157, 357)",0
150,0,782,"(163, 362)","(163, 362)",0
151,0,778,"(169, 367)","(169, 367)",0
152,0,780,"(175, 371)","(175, 371)",0
153,0,780,"(182, 375)","(182, 375)",0
154,0,782,"(188, 379)","(188, 379)",0
155,0,776,"(196, 382)","(196, 382)",0
156,0,781,"(204, 385)","(204, 385)",0
157,0,778,"(212, 388)","(212, 388)",0
158,0,780,"(221, 390)","(221, 390)",0
159,0,779,"(229, 392)","(229, 392)",0
160,0,778,"(237, 393)","(237, 393)",0
161,0,778,"(245, 394)","(245, 394)",0
162,0,779,"(253, 395)","(253, 395)",0
163,0,780,"(262, 395)","(262, 395)",0
164,0,786,"(269, 395)","(269, 395)",0
165,0,777,"(277, 395)","(277, 395)",0
166,0,778,"(285, 394)","(285, 394)",0
167,0,780,"(292, 392)","(292, 392)",0
168,0,778,"(300, 391)","(300, 391)",0
169,0,787,"(307, 389)","(307, 389)",0
170,0,784,"(314, 387)","(314, 387)",0
171,0,772,"(321, 384)","(321, 384)",0
172,0,783,"(328, 382)","(328, 382)",0
173,0,779,"(334, 378)","(334, 378)",0
174,0,785,"(341, 375)","(341, 375)",0
175,0,782,"(347, 371)","(347, 371)",0
176,0,780,"(353, 368)","(353, 368)",0
177,0,783,"(359, 363)","(359, 363)",0
178,0,783,"(365, 359)","(365, 359)",0
179,0,783,"(371, 354)","(371, 354)",0
180,0,784,"(376, 350)","(376, 350)",0
181,0,778,"(381, 344)","(381, 344)",0
182,0,783,"(386, 339)","(386, 339)",0
183,0,781,"(391, 334)","(391, 334)",0
184,0,778,"(396, 328)","(396, 328)",0
185,0,777,"(400, 322)","(400, 322)",0
186,0,782,"(404, 316)","(404, 316)",0
187,0,784,"(408, 310)","(408, 310)",0
188,0,784,"(411, 304)","(411, 304)",0
189,0,780,"(415, 297)","(415, 297)",0
190,0,787,"(418, 291)","(418, 291)",0
191,0,785,"(421, 284)","(421, 284)",0
192,0,786,"(423, 277)","(423, 277)",0
193,0,777,"(426, 271)","(426, 271)",0
194,0,777,"(428, 264)","(428, 264)",0
