frame,id,area,com,icom,consmerged
1,0,1655,"(1653, 868)","(1653, 868)",0
2,0,1650,"(1653, 868)","(1653, 868)",0
3,0,1655,"(1653, 868)","(1653, 868)",0
4,0,1654,"(1652, 868)","(1652, 868)",0
5,0,1672,"(1651, 868)","(1651, 868)",0
6,0,1645,"(1650, 868)","(1650, 868)",0
7,0,1650,"(1649, 868)","(1649, 868)",0
8,0,1611,"(1647, 868)","(1647, 868)",0
9,0,1593,"(1646, 868)","(1646, 868)",0
10,0,1588,"(1644, 868)","(1644, 868)",0
11,0,1605,"(1641, 868)","(1641, 868)",0
12,0,1611,"(1638, 868)","(1638, 868)",0
13,0,1623,"(1635, 868)","(1635, 868)",0
14,0,1623,"(1631, 869)","(1631, 869)",0
15,0,1603,"(1627, 869)","(1627, 869)",0
16,0,1586,"(1624, 869)","(1624, 869)",0
17,0,1568,"(1620, 869)","(1620, 869)",0
18,0,1567,"(1617, 869)","(1617, 869)",0
19,0,1574,"(1614, 869)","(1614, 869)",0
20,0,1583,"(1610, 870)","(1610, 870)",0
21,0,1587,"(1606, 870)","(1606, 870)",0
22,0,1564,"(1600, 870)","(1600, 870)",0
23,0,1556,"(1594, 870)","(1594, 870)",0
24,0,1576,"(1588, 870)","(1588, 870)",0
25,0,1607,"(1583, 871)","(1583, 871)",0
26,0,1632,"(1577, 871)","(1577, 871)",0
27,0,1619,"(1572, 871)","(1572, 871)",0
28,0,1646,"(1566, 872)","(1566, 872)",0
29,0,1656,"(1559, 872)","(1559, 872)",0
30,0,1595,"(1553, 872)","(1553, 872)",0
31,0,1562,"(1545, 872)","(1545, 872)",0
32,0,1614,"(1537, 873)","(1537, 873)",0
33,0,1597,"(1529, 873)","(1529, 873)",0
34,0,1603,"(1522, 873)","(1522, 873)",0
35,0,1619,"(1515, 873)","(1515, 873)",0
36,0,1640,"(1506, 874)","(1506, 874)",0
37,0,1630,"(1497, 874)","(1497, 874)",0
38,0,1657,"(1488, 874)","(1488, 874)",0
39,0,1642,"(1479, 875)","(1479, 875)",0
40,0,1682,"(1469, 875)","(1469, 875)",0
41,0,1627,"(1459, 875)","(1459, 875)",0
42,0,1564,"(1449, 876)","(1449, 876)",0
43,0,1560,"(1440, 876)","(1440, 876)",0
44,0,1598,"(1429, 876)","(1429, 876)",0
45,0,1592,"(1418, 876)","(1418, 876)",0
46,0,1566,"(1406, 876)","(1406, 876)",0
47,0,1541,"(1395, 877)","(1395, 877)",0
48,0,1530,"(1382, 878)","(1382, 878)",0
49,0,1554,"(1370, 878)","(1370, 878)",0
50,0,1543,"(1360, 878)","(1360, 878)",0
51,0,1505,"(1347, 878)","(1347, 878)",0
52,0,1534,"(1332, 878)","(1332, 878)",0
53,0,1524,"(1320, 878)","(1320, 878)",0
54,0,1576,"(1307, 878)","(1307, 878)",0
55,0,1610,"(1294, 878)","(1294, 878)",0
56,0,1659,"(1281, 879)","(1281, 879)",0
57,0,1662,"(1269, 879)","(1269, 879)",0
58,0,1659,"(1254, 879)","(1254, 879)",0
59,0,1614,"(1240, 879)","(1240, 879)",0
60,0,1549,"(1224, 879)","(1224, 879)",0
61,0,1600,"(1210, 880)","(1210, 880)",0
62,0,1702,"(1194, 880)","(1194, 880)",0
63,0,1616,"(1180, 881)","(1180, 881)",0
64,0,1632,"(1164, 881)","(1164, 881)",0
65,0,1604,"(1148, 881)","(1148, 881)",0
66,0,1544,"(1134, 881)","(1134, 881)",0
67,0,1534,"(1117, 880)","(1117, 880)",0
68,0,1502,"(1101, 880)","(1101, 880)",0
69,0,1566,"(1083, 880)","(1083, 880)",0
70,0,1528,"(1066, 880)","(1066, 880)",0
71,0,1509,"(1050, 881)","(1050, 881)",0
72,0,1525,"(1031, 881)","(1031, 881)",0
73,0,1526,"(1017, 880)","(1017, 880)",0
74,0,1464,"(998, 881)","(998, 881)",0
75,0,1466,"(980, 881)","(980, 881)",0
76,0,1484,"(962, 881)","(962, 881)",0
77,0,1421,"(946, 881)","(946, 881)",0
78,0,1395,"(927, 882)","(927, 882)",0
79,0,1358,"(908, 882)","(908, 882)",0
80,0,1324,"(889, 883)","(889, 883)",0
81,0,1330,"(871, 884)","(871, 884)",0
82,0,1361,"(851, 884)","(851, 884)",0
83,0,1348,"(832, 885)","(832, 885)",0
84,0,1368,"(812, 886)","(812, 886)",0
85,0,1434,"(794, 886)","(794, 886)",0
86,0,1594,"(775, 888)","(775, 888)",0
87,0,1590,"(758, 889)","(758, 889)",0
88,0,1613,"(739, 890)","(739, 890)",0
89,0,1585,"(720, 892)","(720, 892)",0
90,0,1473,"(701, 894)","(701, 894)",0
91,0,1440,"(679, 896)","(679, 896)",0
92,0,1489,"(658, 899)","(658, 899)",0
93,0,1519,"(639, 902)","(639, 902)",0
94,0,1552,"(621, 904)","(621, 904)",0
95,0,1523,"(602, 906)","(602, 906)",0
96,0,1571,"(582, 909)","(582, 909)",0
97,0,1560,"(561, 912)","(561, 912)",0
98,0,1584,"(543, 914)","(543, 914)",0
99,0,1617,"(524, 916)","(524, 916)",0
100,0,1654,"(503, 918)","(503, 918)",0
101,0,1551,"(485, 919)","(485, 919)",0
102,0,1524,"(464, 920)","(464, 920)",0
103,0,1526,"(445, 920)","(445, 920)",0
104,0,1546,"(422, 920)","(422, 920)",0
105,0,1477,"(403, 919)","(403, 919)",0
106,0,1576,"(385, 918)","(385, 918)",0
107,0,1568,"(365, 916)","(365, 916)",0
108,0,1560,"(348, 913)","(348, 913)",0
109,0,1657,"(328, 908)","(328, 908)",0
110,0,1562,"(310, 903)","(310, 903)",0
111,0,1590,"(291, 896)","(291, 896)",0
112,0,1578,"(273, 889)","(273, 889)",0
113,0,1527,"(256, 880)","(256, 880)",0
114,0,1415,"(241, 870)","(241, 870)",0
115,0,1521,"(224, 858)","(224, 858)",0
116,0,1451,"(210, 845)","(210, 845)",0
117,0,1493,"(197, 832)","(197, 832)",0
118,0,1499,"(187, 820)","(187, 820)",0
119,0,1595,"(176, 805)","(176, 805)",0
120,0,1614,"(167, 788)","(167, 788)",0
121,0,1536,"(159, 772)","(159, 772)",0
122,0,1609,"(153, 754)","(153, 754)",0
123,0,1560,"(149, 740)","(149, 740)",0
124,0,1597,"(144, 722)","(144, 722)",0
125,0,1616,"(140, 703)","(140, 703)",0
126,0,1631,"(138, 687)","(138, 687)",0
127,0,1574,"(136, 670)","(136, 670)",0
128,0,1638,"(134, 653)","(134, 653)",0
129,0,1658,"(135, 638)","(135, 638)",0
130,0,1699,"(135, 621)","(135, 621)",0
131,0,1709,"(137, 606)","(137, 606)",0
132,0,1724,"(139, 590)","(139, 590)",0
133,0,1656,"(143, 575)","(143, 575)",0
134,0,1640,"(147, 559)","(147, 559)",0
135,0,1634,"(152, 544)","(152, 544)",0
136,0,1669,"(157, 530)","(157, 530)",0
137,0,1653,"(163, 517)","(163, 517)",0
138,0,1630,"(171, 504)","(171, 504)",0
139,0,1682,"(179, 493)","(179, 493)",0
140,0,1583,"(186, 482)","(186, 482)",0
141,0,1531,"(194, 472)","(194, 472)",0
142,0,1514,"(204, 461)","(204, 461)",0
143,0,1531,"(215, 452)","(215, 452)",0
144,0,1544,"(226, 442)","(226, 442)",0
145,0,1480,"(237, 435)","(237, 435)",0
146,0,1480,"(247, 428)","(247, 428)",0
147,0,1472,"(257, 422)","(257, 422)",0
148,0,1466,"(267, 416)","(267, 416)",0
149,0,1459,"(278, 411)","(278, 411)",0
150,0,1534,"(289, 407)","(289, 407)",0
151,0,1575,"(300, 403)","(300, 403)",0
152,0,1551,"(311, 400)","(311, 400)",0
153,0,1532,"(322, 397)","(322, 397)",0
154,0,1558,"(332, 394)","(332, 394)",0
155,0,1545,"(342, 393)","(342, 393)",0
156,0,1572,"(352, 392)","(352, 392)",0
157,0,1611,"(361, 391)","(361, 391)",0
158,0,1631,"(370, 391)","(370, 391)",0
159,0,1646,"(379, 391)","(379, 391)",0
160,0,1654,"(388, 391)","(388, 391)",0
161,0,1655,"(397, 393)","(397, 393)",0
162,0,1642,"(406, 394)","(406, 394)",0
163,0,1584,"(414, 395)","(414, 395)",0
164,0,1615,"(422, 397)","(422, 397)",0
165,0,1627,"(430, 399)","(430, 399)",0
166,0,1650,"(438, 400)","(438, 400)",0
167,0,1647,"(443, 402)","(443, 402)",0
168,0,1673,"(449, 404)","(449, 404)",0
169,0,1670,"(455, 406)","(455, 406)",0
170,0,1716,"(461, 408)","(461, 408)",0
171,0,1691,"(466, 411)","(466, 411)",0
172,0,1658,"(472, 413)","(472, 413)",0
173,0,1615,"(477, 415)","(477, 415)",0
174,0,1575,"(481, 418)","(481, 418)",0
175,0,1547,"(485, 420)","(485, 420)",0
176,0,1533,"(489, 422)","(489, 422)",0
177,0,1506,"(494, 425)","(494, 425)",0
178,0,1478,"(498, 428)","(498, 428)",0
179,0,1454,"(502, 430)","(502, 430)",0
180,0,1419,"(505, 432)","(505, 432)",0
181,0,1432,"(509, 435)","(509, 435)",0
182,0,1441,"(512, 437)","(512, 437)",0
183,0,1445,"(515, 439)","(515, 439)",0
184,0,1437,"(517, 441)","(517, 441)",0
185,0,1442,"(519, 443)","(519, 443)",0
186,0,1447,"(521, 444)","(521, 444)",0
187,0,1438,"(522, 445)","(522, 445)",0
188,0,1456,"(524, 447)","(524, 447)",0
189,0,1467,"(525, 448)","(525, 448)",0
190,0,1470,"(526, 448)","(526, 448)",0
191,0,1464,"(528, 449)","(528, 449)",0
192,0,1458,"(528, 450)","(528, 450)",0
193,0,1449,"(529, 451)","(529, 451)",0
194,0,1442,"(530, 451)","(530, 451)",0
195,0,1441,"(530, 451)","(530, 451)",0
196,0,1445,"(530, 451)","(530, 451)",0
197,0,1389,"(530, 453)","(530, 453)",0
198,0,1386,"(530, 453)","(530, 453)",0
199,0,1392,"(531, 453)","(531, 453)",0
200,0,1407,"(531, 454)","(531, 454)",0
201,0,1407,"(531, 454)","(531, 454)",0
202,0,1390,"(533, 455)","(533, 455)",0
203,0,1396,"(534, 456)","(534, 456)",0
204,0,1416,"(534, 457)","(534, 457)",0
205,0,1421,"(535, 458)","(535, 458)",0
206,0,1423,"(537, 460)","(537, 460)",0
207,0,1436,"(538, 461)","(538, 461)",0
208,0,1436,"(539, 463)","(539, 463)",0
209,0,1451,"(541, 464)","(541, 464)",0
210,0,1459,"(542, 466)","(542, 466)",0
211,0,1483,"(544, 468)","(544, 468)",0
212,0,1502,"(545, 469)","(545, 469)",0
213,0,1512,"(547, 471)","(547, 471)",0
214,0,1518,"(549, 473)","(549, 473)",0
215,0,1505,"(550, 476)","(550, 476)",0
216,0,1507,"(552, 478)","(552, 478)",0
217,0,1488,"(554, 480)","(554, 480)",0
218,0,1515,"(557, 483)","(557, 483)",0
219,0,1542,"(559, 486)","(559, 486)",0
220,0,1569,"(562, 489)","(562, 489)",0
221,0,1575,"(564, 492)","(564, 492)",0
222,0,1588,"(568, 496)","(568, 496)",0
223,0,1584,"(572, 500)","(572, 500)",0
224,0,1572,"(575, 504)","(575, 504)",0
225,0,1566,"(578, 508)","(578, 508)",0
226,0,1587,"(582, 512)","(582, 512)",0
227,0,1609,"(585, 515)","(585, 515)",0
228,0,1630,"(590, 520)","(590, 520)",0
229,0,1636,"(594, 525)","(594, 525)",0
230,0,1629,"(598, 530)","(598, 530)",0
231,0,1610,"(603, 534)","(603, 534)",0
232,0,1619,"(608, 540)","(608, 540)",0
233,0,1650,"(612, 544)","(612, 544)",0
234,0,1674,"(616, 549)","(616, 549)",0
235,0,1678,"(621, 554)","(621, 554)",0
236,0,1671,"(625, 559)","(625, 559)",0
237,0,1634,"(630, 564)","(630, 564)",0
238,0,1570,"(634, 569)","(634, 569)",0
239,0,1598,"(640, 575)","(640, 575)",0
240,0,1627,"(646, 581)","(646, 581)",0
241,0,1625,"(652, 588)","(652, 588)",0
242,0,1642,"(658, 594)","(658, 594)",0
243,0,1589,"(664, 601)","(664, 601)",0
244,0,1579,"(671, 607)","(671, 607)",0
245,0,1576,"(678, 614)","(678, 614)",0
246,0,1514,"(684, 621)","(684, 621)",0
247,0,1564,"(690, 627)","(690, 627)",0
248,0,1592,"(697, 634)","(697, 634)",0
249,0,1592,"(704, 642)","(704, 642)",0
250,0,1581,"(710, 649)","(710, 649)",0
251,0,1586,"(717, 656)","(717, 656)",0
252,0,1678,"(725, 664)","(725, 664)",0
253,0,1624,"(732, 671)","(732, 671)",0
254,0,1666,"(740, 679)","(740, 679)",0
255,0,1656,"(748, 687)","(748, 687)",0
256,0,1582,"(756, 695)","(756, 695)",0
257,0,1540,"(764, 704)","(764, 704)",0
258,0,1624,"(773, 712)","(773, 712)",0
259,0,1637,"(782, 721)","(782, 721)",0
260,0,1692,"(789, 729)","(789, 729)",0
261,0,1666,"(798, 736)","(798, 736)",0
262,0,1650,"(807, 745)","(807, 745)",0
263,0,1650,"(816, 753)","(816, 753)",0
264,0,1703,"(826, 762)","(826, 762)",0
265,0,1688,"(836, 770)","(836, 770)",0
266,0,1589,"(846, 778)","(846, 778)",0
267,0,1597,"(857, 787)","(857, 787)",0
268,0,1571,"(866, 794)","(866, 794)",0
269,0,1508,"(876, 802)","(876, 802)",0
270,0,1465,"(887, 811)","(887, 811)",0
271,0,1350,"(900, 820)","(900, 820)",0
272,0,1389,"(914, 828)","(914, 828)",0
273,0,1419,"(928, 837)","(928, 837)",0
274,0,1502,"(940, 845)","(940, 845)",0
275,0,1541,"(952, 852)","(952, 852)",0
276,0,1518,"(962, 857)","(962, 857)",0
277,0,1573,"(975, 864)","(975, 864)",0
278,0,1564,"(988, 871)","(988, 871)",0
279,0,1535,"(1003, 878)","(1003, 878)",0
280,0,1518,"(1020, 885)","(1020, 885)",0
281,0,1534,"(1034, 891)","(1034, 891)",0
282,0,1553,"(1047, 895)","(1047, 895)",0
283,0,1483,"(1061, 900)","(1061, 900)",0
284,0,1544,"(1077, 904)","(1077, 904)",0
285,0,1524,"(1094, 907)","(1094, 907)",0
286,0,1526,"(1111, 910)","(1111, 910)",0
287,0,1559,"(1128, 912)","(1128, 912)",0
288,0,1603,"(1145, 913)","(1145, 913)",0
289,0,1595,"(1159, 912)","(1159, 912)",0
290,0,1608,"(1176, 911)","(1176, 911)",0
291,0,1575,"(1193, 909)","(1193, 909)",0
292,0,1536,"(1210, 906)","(1210, 906)",0
293,0,1501,"(1229, 900)","(1229, 900)",0
294,0,1564,"(1244, 894)","(1244, 894)",0
295,0,1584,"(1260, 885)","(1260, 885)",0
296,0,1598,"(1274, 877)","(1274, 877)",0
297,0,1661,"(1288, 866)","(1288, 866)",0
298,0,1643,"(1301, 855)","(1301, 855)",0
299,0,1653,"(1313, 842)","(1313, 842)",0
300,0,1555,"(1324, 829)","(1324, 829)",0
301,0,1526,"(1335, 814)","(1335, 814)",0
302,0,1510,"(1344, 800)","(1344, 800)",0
303,0,1589,"(1355, 782)","(1355, 782)",0
304,0,1531,"(1363, 765)","(1363, 765)",0
305,0,1595,"(1372, 749)","(1372, 749)",0
306,0,1606,"(1380, 735)","(1380, 735)",0
307,0,1549,"(1389, 720)","(1389, 720)",0
308,0,1567,"(1399, 703)","(1399, 703)",0
309,0,1501,"(1410, 688)","(1410, 688)",0
310,0,1526,"(1422, 674)","(1422, 674)",0
311,0,1508,"(1434, 661)","(1434, 661)",0
312,0,1545,"(1449, 649)","(1449, 649)",0
313,0,1538,"(1464, 638)","(1464, 638)",0
314,0,1592,"(1480, 628)","(1480, 628)",0
315,0,1581,"(1495, 620)","(1495, 620)",0
316,0,1624,"(1511, 613)","(1511, 613)",0
317,0,1628,"(1530, 605)","(1530, 605)",0
318,0,1624,"(1547, 598)","(1547, 598)",0
319,0,1636,"(1564, 591)","(1564, 591)",0
320,0,1638,"(1580, 584)","(1580, 584)",0
321,0,1603,"(1598, 577)","(1598, 577)",0
322,0,1640,"(1615, 568)","(1615, 568)",0
323,0,1583,"(1630, 560)","(1630, 560)",0
324,0,1652,"(1646, 550)","(1646, 550)",0
325,0,1608,"(1661, 538)","(1661, 538)",0
326,0,1657,"(1675, 526)","(1675, 526)",0
327,0,1671,"(1688, 514)","(1688, 514)",0
328,0,1658,"(1700, 502)","(1700, 502)",0
329,0,1634,"(1711, 488)","(1711, 488)",0
330,0,1680,"(1722, 473)","(1722, 473)",0
331,0,1531,"(1732, 458)","(1732, 458)",0
332,0,1538,"(1741, 440)","(1741, 440)",0
333,0,1566,"(1747, 425)","(1747, 425)",0
334,0,1589,"(1752, 408)","(1752, 408)",0
335,0,1551,"(1757, 389)","(1757, 389)",0
336,0,1646,"(1760, 373)","(1760, 373)",0
337,0,1595,"(1761, 356)","(1761, 356)",0
338,0,1639,"(1761, 339)","(1761, 339)",0
339,0,1629,"(1760, 322)","(1760, 322)",0
340,0,1631,"(1757, 305)","(1757, 305)",0
341,0,1578,"(1752, 289)","(1752, 289)",0
342,0,1595,"(1745, 272)","(1745, 272)",0
343,0,1562,"(1736, 256)","(1736, 256)",0
344,0,1609,"(1727, 242)","(1727, 242)",0
345,0,1573,"(1717, 230)","(1717, 230)",0
346,0,1659,"(1706, 219)","(1706, 219)",0
347,0,1656,"(1693, 208)","(1693, 208)",0
348,0,1660,"(1680, 199)","(1680, 199)",0
349,0,1584,"(1667, 192)","(1667, 192)",0
350,0,1612,"(1653, 185)","(1653, 185)",0
351,0,1610,"(1637, 179)","(1637, 179)",0
352,0,1621,"(1622, 175)","(1622, 175)",0
353,0,1629,"(1606, 172)","(1606, 172)",0
354,0,1661,"(1590, 170)","(1590, 170)",0
355,0,1641,"(1576, 169)","(1576, 169)",0
356,0,1692,"(1561, 169)","(1561, 169)",0
357,0,1628,"(1547, 170)","(1547, 170)",0
358,0,1626,"(1533, 171)","(1533, 171)",0
359,0,1608,"(1517, 172)","(1517, 172)",0
360,0,1573,"(1504, 173)","(1504, 173)",0
361,0,1522,"(1489, 175)","(1489, 175)",0
362,0,1492,"(1474, 177)","(1474, 177)",0
363,0,1559,"(1459, 180)","(1459, 180)",0
364,0,1543,"(1447, 182)","(1447, 182)",0
