frame,id,area,com,icom,consmerged,cx,cy
1,0,1655.0,"(1653, 868)","(1653, 868)",0.0,1653.0,868.0
2,0,1650.0,"(1653, 868)","(1653, 868)",0.0,1653.0,868.0
3,0,1655.0,"(1653, 868)","(1653, 868)",0.0,1653.0,868.0
4,0,1654.0,"(1652, 868)","(1652, 868)",0.0,1652.0,868.0
5,0,1672.0,"(1651, 868)","(1651, 868)",0.0,1651.0,868.0
6,0,1645.0,"(1650, 868)","(1650, 868)",0.0,1650.0,868.0
7,0,1650.0,"(1649, 868)","(1649, 868)",0.0,1649.0,868.0
8,0,1611.0,"(1647, 868)","(1647, 868)",0.0,1647.0,868.0
9,0,1593.0,"(1646, 868)","(1646, 868)",0.0,1646.0,868.0
10,0,1588.0,"(1644, 868)","(1644, 868)",0.0,1644.0,868.0
11,0,1605.0,"(1641, 868)","(1641, 868)",0.0,1641.0,868.0
12,0,1611.0,"(1638, 868)","(1638, 868)",0.0,1638.0,868.0
13,0,1623.0,"(1635, 868)","(1635, 868)",0.0,1635.0,868.0
14,0,1623.0,"(1631, 869)","(1631, 869)",0.0,1631.0,869.0
15,0,1603.0,"(1627, 869)","(1627, 869)",0.0,1627.0,869.0
16,0,1586.0,"(1624, 869)","(1624, 869)",0.0,1624.0,869.0
17,0,1568.0,"(1620, 869)","(1620, 869)",0.0,1620.0,869.0
18,0,1567.0,"(1617, 869)","(1617, 869)",0.0,1617.0,869.0
19,0,1574.0,"(1614, 869)","(1614, 869)",0.0,1614.0,869.0
20,0,1583.0,"(1610, 870)","(1610, 870)",0.0,1610.0,870.0
21,0,1587.0,"(1606, 870)","(1606, 870)",0.0,1606.0,870.0
22,0,1564.0,"(1600, 870)","(1600, 870)",0.0,1600.0,870.0
23,0,1556.0,"(1594, 870)","(1594, 870)",0.0,1594.0,870.0
24,0,1576.0,"(1588, 870)","(1588, 870)",0.0,1588.0,870.0
25,0,1607.0,"(1583, 871)","(1583, 871)",0.0,1583.0,871.0
26,0,1632.0,"(1577, 871)","(1577, 871)",0.0,1577.0,871.0
27,0,1619.0,"(1572, 871)","(1572, 871)",0.0,1572.0,871.0
28,0,1646.0,"(1566, 872)","(1566, 872)",0.0,1566.0,872.0
29,0,1656.0,"(1559, 872)","(1559, 872)",0.0,1559.0,872.0
30,0,1595.0,"(1553, 872)","(1553, 872)",0.0,1553.0,872.0
31,0,1562.0,"(1545, 872)","(1545, 872)",0.0,1545.0,872.0
32,0,1614.0,"(1537, 873)","(1537, 873)",0.0,1537.0,873.0
