frame,time,ID,traj,inroi,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist
1,0.03,F2,1,1,49.0,428.0,,,0.0,,,,,,0.0,0.0,41.0
2,0.07,F2,1,1,59.0,427.0,10.05,30.15,10.0,,95.7,,,,0.0,0.0,42.0
3,0.1,F2,1,1,69.0,427.0,10.0,30.0,20.0,-4.49,90.0,,-5.71,,-5.7,5.7,42.0
4,0.13,F2,1,1,79.0,427.0,10.0,30.0,30.0,0.0,90.0,,0.0,5.71,-5.7,5.7,42.0
5,0.17,F2,1,1,89.0,427.0,10.0,30.0,40.0,0.0,90.0,,0.0,0.0,-5.7,5.7,42.0
6,0.2,F2,1,1,99.0,427.0,10.0,30.0,50.0,0.0,90.0,,0.0,0.0,-5.7,5.7,42.0
7,0.23,F2,1,1,109.0,427.0,10.0,30.0,60.0,0.0,90.0,,0.0,0.0,-5.7,5.7,42.0
8,0.27,F2,1,1,119.0,427.0,10.0,30.0,70.0,0.0,90.0,,0.0,0.0,-5.7,5.7,42.0
9,0.3,F2,1,1,129.0,427.0,10.0,30.0,80.0,0.0,90.0,,0.0,0.0,-5.7,5.7,42.0
10,0.33,F2,1,1,139.0,428.0,10.05,30.15,90.1,4.49,84.3,,-5.71,-5.71,-11.4,11.4,41.0
11,0.37,F2,1,1,149.0,428.0,10.0,30.0,100.1,-4.49,90.0,,5.71,11.42,-5.7,17.1,41.0
12,0.4,F2,1,1,159.0,429.0,10.05,30.15,110.1,4.49,84.3,,-5.71,-11.42,-11.4,22.8,40.0
13,0.43,F2,1,1,169.0,430.0,10.05,30.15,120.2,0.0,84.3,,0.0,5.71,-11.4,22.8,39.0
14,0.47,F2,1,1,178.0,430.0,9.0,27.0,129.2,-94.49,90.0,,5.71,5.71,-5.7,28.6,39.0
15,0.5,F2,1,1,188.0,431.0,10.05,30.15,139.2,94.49,84.3,,-5.71,-11.42,-11.4,34.3,38.0
16,0.53,F2,1,1,198.0,432.0,10.05,30.15,149.3,0.0,84.3,,0.0,5.71,-11.4,34.3,37.0
17,0.57,F2,1,1,208.0,433.0,10.05,30.15,159.3,0.0,84.3,,0.0,0.0,-11.4,34.3,36.0
18,0.6,F2,1,1,218.0,434.0,10.05,30.15,169.4,0.0,84.3,,0.0,0.0,-11.4,34.3,35.0
19,0.63,F2,1,1,228.0,435.0,10.05,30.15,179.4,0.0,84.3,,0.0,0.0,-11.4,34.3,34.0
20,0.67,F2,1,1,238.0,437.0,10.2,30.59,189.6,13.33,78.7,,-5.6,-5.6,-17.0,39.9,32.0
21,0.7,F2,1,1,248.0,438.0,10.05,30.15,199.7,-13.33,84.3,,5.6,11.2,-11.4,45.5,31.0
22,0.73,F2,1,1,258.0,440.0,10.2,30.59,209.9,13.33,78.7,,-5.6,-11.2,-17.0,51.1,29.0
23,0.77,F2,1,1,269.0,441.0,11.05,33.14,220.9,76.26,84.8,,6.12,11.72,-10.9,57.2,28.0
24,0.8,F2,1,1,279.0,442.0,10.05,30.15,231.0,-89.59,84.3,,-0.52,-6.63,-11.4,57.7,27.0
25,0.83,F2,1,1,290.0,443.0,11.05,33.14,242.0,89.59,84.8,,0.52,1.03,-10.9,58.2,26.0
26,0.87,F2,1,1,301.0,444.0,11.05,33.14,253.1,0.0,84.8,,0.0,-0.52,-10.9,58.2,25.0
27,0.9,F2,1,1,312.0,445.0,11.05,33.14,264.1,0.0,84.8,,0.0,0.0,-10.9,58.2,24.0
28,0.93,F2,1,1,322.0,445.0,10.0,30.0,274.1,-94.08,90.0,,5.19,5.19,-5.7,63.4,24.0
29,0.97,F2,1,1,333.0,445.0,11.0,33.0,285.1,90.0,90.0,,0.0,-5.19,-5.7,63.4,24.0
30,1.0,F2,1,1,343.0,444.0,10.05,30.15,295.2,-85.51,95.7,,5.71,5.71,0.0,69.1,25.0
31,1.03,F2,1,1,352.0,442.0,9.22,27.66,304.4,-74.73,102.5,,6.82,1.11,6.8,75.9,27.0
32,1.07,F2,1,1,362.0,440.0,10.2,30.59,314.6,88.06,101.3,,-1.22,-8.04,5.6,77.2,29.0
33,1.1,F2,1,1,371.0,437.0,9.49,28.46,324.1,-64.01,108.4,,7.12,8.34,12.7,84.3,32.0
34,1.13,F2,1,1,379.0,433.0,8.94,26.83,333.0,-48.83,116.6,,8.13,1.0,20.9,92.4,36.0
35,1.17,F2,1,1,387.0,429.0,8.94,26.83,342.0,0.0,116.6,,0.0,-8.13,20.9,92.4,40.0
36,1.2,F2,1,1,394.0,423.0,9.22,27.66,351.2,24.77,130.6,,14.04,14.04,34.9,106.4,46.0
37,1.23,F2,1,1,401.0,417.0,9.22,27.66,360.4,0.0,130.6,,0.0,-14.04,34.9,106.4,52.0
38,1.27,F2,1,1,406.0,409.0,9.43,28.3,369.8,19.3,148.0,,17.39,17.39,52.3,123.8,60.0
39,1.3,F2,1,1,411.0,401.0,9.43,28.3,379.3,0.0,148.0,,0.0,-17.39,52.3,123.8,60.0
40,1.33,F2,1,1,418.0,388.0,14.76,44.29,394.0,479.78,151.7,,3.7,3.7,56.0,127.5,53.0
41,1.37,F2,1,1,423.0,375.0,13.93,41.79,408.0,-75.28,159.0,,7.26,3.56,63.3,134.8,48.0
42,1.4,F2,1,1,427.0,363.0,12.65,37.95,420.6,-115.13,161.6,,2.6,-4.66,65.9,137.4,44.0
43,1.43,F2,1,1,430.0,352.0,11.4,34.21,432.0,-112.26,164.7,,3.18,0.58,69.0,140.6,41.0
44,1.47,F2,1,1,432.0,341.0,11.18,33.54,443.2,-19.93,169.7,,4.95,1.77,74.0,145.5,39.0
45,1.5,F2,1,1,433.0,332.0,9.06,27.17,452.3,-191.25,173.7,,3.96,-0.99,77.9,149.5,38.0
46,1.53,F2,1,1,433.0,323.0,9.0,27.0,461.3,-4.98,180.0,,6.34,2.38,84.3,155.8,38.0
47,1.57,F2,1,1,432.0,314.0,9.06,27.17,470.3,4.98,-173.7,,6.34,0.0,90.6,162.2,39.0
48,1.6,F2,1,1,430.0,307.0,7.28,21.84,477.6,-159.77,-164.1,,9.6,3.26,100.2,171.8,41.0
49,1.63,F2,1,1,428.0,300.0,7.28,21.84,484.9,0.0,-164.1,,0.0,-9.6,100.2,171.8,43.0
