frame,time,ID,traj,inroi,inmask,cx,cy,displ,speed,cumdispl,accel,heading,orient,turnspeed,turnaccel,cumturn,abscumturn,rdist,mdist,mx,my
1,0.03,Fish_42,1.0,1,0.0,1653.0,868.0,,,0.0,,,,,,0.0,0.0,212.0,484.9,1169.0,242.0
2,0.07,Fish_42,1.0,1,0.0,1653.0,868.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,212.0,484.9,1169.0,242.0
3,0.1,Fish_42,1.0,1,0.0,1653.0,868.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,212.0,484.9,1169.0,242.0
4,0.13,Fish_42,1.0,1,0.0,1652.0,868.0,1.0,3.0,1.0,90.0,-90.0,,-90.0,-90.0,-90.0,90.0,212.0,483.9,1169.0,242.0
5,0.17,Fish_42,1.0,1,0.0,1651.0,868.0,1.0,3.0,2.0,0.0,-90.0,,0.0,90.0,-90.0,90.0,212.0,482.9,1169.0,242.0
6,0.2,Fish_42,1.0,1,0.0,1650.0,868.0,1.0,3.0,3.0,0.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,481.9,1169.0,242.0
7,0.23,Fish_42,1.0,1,0.0,1649.0,868.0,1.0,3.0,4.0,0.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,480.9,1169.0,242.0
8,0.27,Fish_42,1.0,1,0.0,1647.0,868.0,2.0,6.0,6.0,90.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,478.9,1169.0,242.0
9,0.3,Fish_42,1.0,1,0.0,1646.0,868.0,1.0,3.0,7.0,-90.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,477.9,1169.0,242.0
10,0.33,Fish_42,1.0,1,0.0,1644.0,868.0,2.0,6.0,9.0,90.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,475.9,1169.0,242.0
11,0.37,Fish_42,1.0,1,0.0,1641.0,868.0,3.0,9.0,12.0,90.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,473.0,1169.0,242.0
12,0.4,Fish_42,1.0,1,0.0,1638.0,868.0,3.0,9.0,15.0,0.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,470.0,1169.0,242.0
13,0.43,Fish_42,1.0,1,0.0,1635.0,868.0,3.0,9.0,18.0,0.0,-90.0,,0.0,0.0,-90.0,90.0,212.0,467.0,1169.0,242.0
14,0.47,Fish_42,1.0,1,0.0,1631.0,869.0,4.12,12.37,22.1,101.08,-76.0,,14.04,14.04,-76.0,104.0,211.0,463.0,1169.0,242.0
15,0.5,Fish_42,1.0,1,0.0,1627.0,869.0,4.0,12.0,26.1,-11.08,-90.0,,-14.04,-28.07,-90.0,118.1,211.0,459.0,1169.0,242.0
16,0.53,Fish_42,1.0,1,0.0,1624.0,869.0,3.0,9.0,29.1,-90.0,-90.0,,0.0,14.04,-90.0,118.1,211.0,456.1,1169.0,242.0
17,0.57,Fish_42,1.0,1,0.0,1620.0,869.0,4.0,12.0,33.1,90.0,-90.0,,0.0,0.0,-90.0,118.1,211.0,452.1,1169.0,242.0
18,0.6,Fish_42,1.0,1,0.0,1617.0,869.0,3.0,9.0,36.1,-90.0,-90.0,,0.0,0.0,-90.0,118.1,211.0,449.1,1169.0,242.0
19,0.63,Fish_42,1.0,1,0.0,1614.0,869.0,3.0,9.0,39.1,0.0,-90.0,,0.0,0.0,-90.0,118.1,211.0,446.1,1169.0,242.0
20,0.67,Fish_42,1.0,1,0.0,1610.0,870.0,4.12,12.37,43.2,101.08,-76.0,,14.04,14.04,-76.0,132.1,210.0,442.2,1169.0,242.0
21,0.7,Fish_42,1.0,1,0.0,1606.0,870.0,4.0,12.0,47.2,-11.08,-90.0,,-14.04,-28.07,-90.0,146.1,210.0,438.2,1169.0,242.0
22,0.73,Fish_42,1.0,1,0.0,1600.0,870.0,6.0,18.0,53.2,180.0,-90.0,,0.0,14.04,-90.0,146.1,210.0,432.2,1169.0,242.0
23,0.77,Fish_42,1.0,1,0.0,1594.0,870.0,6.0,18.0,59.2,0.0,-90.0,,0.0,0.0,-90.0,146.1,210.0,426.2,1169.0,242.0
24,0.8,Fish_42,1.0,1,0.0,1588.0,870.0,6.0,18.0,65.2,0.0,-90.0,,0.0,0.0,-90.0,146.1,210.0,420.2,1169.0,242.0
25,0.83,Fish_42,1.0,1,0.0,1583.0,871.0,5.1,15.3,70.3,-81.09,-78.7,,11.31,11.31,-78.7,157.5,209.0,415.3,1169.0,242.0
26,0.87,Fish_42,1.0,1,0.0,1577.0,871.0,6.0,18.0,76.3,81.09,-90.0,,-11.31,-22.62,-90.0,168.8,209.0,409.3,1169.0,242.0
27,0.9,Fish_42,1.0,1,0.0,1572.0,871.0,5.0,15.0,81.3,-90.0,-90.0,,0.0,11.31,-90.0,168.8,209.0,404.3,1169.0,242.0
28,0.93,Fish_42,1.0,1,0.0,1566.0,872.0,6.08,18.25,87.4,97.45,-80.5,,9.46,9.46,-80.5,178.2,208.0,398.5,1169.0,242.0
29,0.97,Fish_42,1.0,1,0.0,1559.0,872.0,7.0,21.0,94.4,82.55,-90.0,,-9.46,-18.92,-90.0,187.7,208.0,391.5,1169.0,242.0
30,1.0,Fish_42,1.0,1,0.0,1553.0,872.0,6.0,18.0,100.4,-90.0,-90.0,,0.0,9.46,-90.0,187.7,208.0,385.5,1169.0,242.0
31,1.03,Fish_42,1.0,1,0.0,1545.0,872.0,8.0,24.0,108.4,180.0,-90.0,,0.0,0.0,-90.0,187.7,208.0,377.5,1169.0,242.0
32,1.07,Fish_42,1.0,1,0.0,1537.0,873.0,8.06,24.19,116.5,5.6,-82.9,,7.12,7.12,-82.9,194.8,207.0,369.7,1169.0,242.0
33,1.1,Fish_42,1.0,1,0.0,1529.0,873.0,8.0,24.0,124.5,-5.6,-90.0,,-7.12,-14.25,-90.0,201.9,207.0,361.7,1169.0,242.0
34,1.13,Fish_42,1.0,1,0.0,1522.0,873.0,7.0,21.0,131.5,-90.0,-90.0,,0.0,7.12,-90.0,201.9,207.0,354.7,1169.0,242.0
35,1.17,Fish_42,1.0,1,0.0,1515.0,873.0,7.0,21.0,138.5,0.0,-90.0,,0.0,0.0,-90.0,201.9,207.0,347.8,1169.0,242.0
36,1.2,Fish_42,1.0,1,0.0,1506.0,874.0,9.06,27.17,147.5,184.98,-83.7,,6.34,6.34,-83.7,208.3,206.0,338.9,1169.0,242.0
37,1.23,Fish_42,1.0,1,0.0,1497.0,874.0,9.0,27.0,156.5,-4.98,-90.0,,-6.34,-12.68,-90.0,214.6,206.0,330.0,1169.0,242.0
38,1.27,Fish_42,1.0,1,0.0,1488.0,874.0,9.0,27.0,165.5,0.0,-90.0,,0.0,6.34,-90.0,214.6,206.0,321.0,1169.0,242.0
39,1.3,Fish_42,1.0,1,0.0,1479.0,875.0,9.06,27.17,174.6,4.98,-83.7,,6.34,6.34,-83.7,221.0,205.0,312.2,1169.0,242.0
40,1.33,Fish_42,1.0,1,0.0,1469.0,875.0,10.0,30.0,184.6,85.02,-90.0,,-6.34,-12.68,-90.0,227.3,205.0,302.3,1169.0,242.0
41,1.37,Fish_42,1.0,1,0.0,1459.0,875.0,10.0,30.0,194.6,0.0,-90.0,,0.0,6.34,-90.0,227.3,205.0,292.4,1169.0,242.0
42,1.4,Fish_42,1.0,1,0.0,1449.0,876.0,10.05,30.15,204.7,4.49,-84.3,,5.71,5.71,-84.3,233.0,204.0,282.6,1169.0,242.0
43,1.43,Fish_42,1.0,1,0.0,1440.0,876.0,9.0,27.0,213.7,-94.49,-90.0,,-5.71,-11.42,-90.0,238.7,204.0,273.7,1169.0,242.0
44,1.47,Fish_42,1.0,1,0.0,1429.0,876.0,11.0,33.0,224.7,180.0,-90.0,,0.0,5.71,-90.0,238.7,204.0,262.8,1169.0,242.0
45,1.5,Fish_42,1.0,1,0.0,1418.0,876.0,11.0,33.0,235.7,0.0,-90.0,,0.0,0.0,-90.0,238.7,204.0,251.9,1169.0,242.0
46,1.53,Fish_42,1.0,1,0.0,1406.0,876.0,12.0,36.0,247.7,90.0,-90.0,,0.0,0.0,-90.0,238.7,204.0,240.0,1169.0,242.0
47,1.57,Fish_42,1.0,1,0.0,1395.0,877.0,11.05,33.14,258.7,-85.92,-84.8,,5.19,5.19,-84.8,243.9,203.0,229.3,1169.0,242.0
48,1.6,Fish_42,1.0,1,0.0,1382.0,878.0,13.04,39.12,271.7,179.37,-85.6,,-0.8,-5.99,-85.6,244.7,202.0,216.7,1169.0,242.0
49,1.63,Fish_42,1.0,1,0.0,1370.0,878.0,12.0,36.0,283.7,-93.46,-90.0,,-4.4,-3.6,-90.0,249.1,202.0,204.9,1169.0,242.0
50,1.67,Fish_42,1.0,1,0.0,1360.0,878.0,10.0,30.0,293.7,-180.0,-90.0,,0.0,4.4,-90.0,249.1,202.0,195.1,1169.0,242.0
51,1.7,Fish_42,1.0,1,0.0,1347.0,878.0,13.0,39.0,306.7,270.0,-90.0,,0.0,0.0,-90.0,249.1,202.0,182.4,1169.0,242.0
52,1.73,Fish_42,1.0,1,0.0,1332.0,878.0,15.0,45.0,321.7,180.0,-90.0,,0.0,0.0,-90.0,249.1,202.0,167.8,1169.0,242.0
53,1.77,Fish_42,1.0,1,0.0,1320.0,878.0,12.0,36.0,333.7,-270.0,-90.0,,0.0,0.0,-90.0,249.1,202.0,156.2,1169.0,242.0
54,1.8,Fish_42,1.0,1,0.0,1307.0,878.0,13.0,39.0,346.7,90.0,-90.0,,0.0,0.0,-90.0,249.1,202.0,143.7,1169.0,242.0
55,1.83,Fish_42,1.0,1,0.0,1294.0,878.0,13.0,39.0,359.7,0.0,-90.0,,0.0,0.0,-90.0,249.1,202.0,131.2,1169.0,242.0
56,1.87,Fish_42,1.0,1,0.0,1281.0,879.0,13.04,39.12,372.8,3.46,-85.6,,4.4,4.4,-85.6,253.5,201.0,119.3,1169.0,242.0
57,1.9,Fish_42,1.0,1,0.0,1269.0,879.0,12.0,36.0,384.8,-93.46,-90.0,,-4.4,-8.8,-90.0,257.9,201.0,108.1,1169.0,242.0
58,1.93,Fish_42,1.0,1,0.0,1254.0,879.0,15.0,45.0,399.8,270.0,-90.0,,0.0,4.4,-90.0,257.9,201.0,94.4,1169.0,242.0
59,1.97,Fish_42,1.0,1,0.0,1240.0,879.0,14.0,42.0,413.8,-90.0,-90.0,,0.0,0.0,-90.0,257.9,201.0,81.5,1165.0,233.0
60,2.0,Fish_42,1.0,1,0.0,1224.0,879.0,16.0,48.0,429.8,180.0,-90.0,,0.0,0.0,-90.0,257.9,201.0,66.9,1162.0,226.0
61,2.03,Fish_42,1.0,1,0.0,1210.0,880.0,14.04,42.11,443.8,-176.79,-85.9,,4.09,4.09,-85.9,262.0,200.0,54.6,1161.0,224.0
62,2.07,Fish_42,1.0,1,0.0,1194.0,880.0,16.0,48.0,459.8,176.79,-90.0,,-4.09,-8.17,-90.0,266.1,200.0,39.8,1158.0,217.0
63,2.1,Fish_42,1.0,1,0.0,1180.0,881.0,14.04,42.11,473.8,-176.79,-85.9,,4.09,8.17,-85.9,270.2,199.0,27.3,1155.0,210.0
64,2.13,Fish_42,1.0,1,0.0,1164.0,881.0,16.0,48.0,489.8,176.79,-90.0,,-4.09,-8.17,-90.0,274.3,199.0,13.0,1152.0,204.0
65,2.17,Fish_42,1.0,1,0.0,1148.0,881.0,16.0,48.0,505.8,0.0,-90.0,,0.0,4.09,-90.0,274.3,199.0,1.4,1149.0,198.0
66,2.2,Fish_42,1.0,1,0.0,1134.0,881.0,14.0,42.0,519.8,-180.0,-90.0,,0.0,0.0,-90.0,274.3,199.0,14.3,1148.0,196.0
